information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_1~SEND~Diena (Diena.lt)~B-ID-2~IP-114~0~0~1~Sim0
InfoAct_id_2~SEND~Diena (Diena.lt)~B-ID-2~IP-118~0~0~1~Sim0
InfoAct_id_3~SEND~Diena (Diena.lt)~B-ID-2~IP-122~0~0~1~Sim0
InfoAct_id_4~SEND~Diena (Diena.lt)~B-ID-2~IP-126~0~0~1~Sim0
InfoAct_id_5~SEND~Diena (Diena.lt)~B-ID-2~IP-130~0~0~1~Sim0
InfoAct_id_6~SEND~Diena (Diena.lt)~B-ID-2~IP-147~0~0~1~Sim0
InfoAct_id_7~SEND~Diena (Diena.lt)~B-ID-2~IP-151~0~0~1~Sim0
InfoAct_id_8~SEND~Diena (Diena.lt)~B-ID-2~IP-155~0~0~1~Sim0
InfoAct_id_9~SEND~Diena (Diena.lt)~B-ID-2~IP-159~0~0~1~Sim0
InfoAct_id_10~SEND~Diena (Diena.lt)~B-ID-2~IP-163~0~0~1~Sim0
InfoAct_id_11~SEND~Diena (Diena.lt)~B-ID-2~IP-167~0~0~1~Sim0
InfoAct_id_12~SEND~Diena (Diena.lt)~B-ID-2~IP-171~0~0~1~Sim0
InfoAct_id_13~SEND~Diena (Diena.lt)~B-ID-2~IP-175~0~0~1~Sim0
InfoAct_id_14~SEND~Diena (Diena.lt)~B-ID-2~IP-179~0~0~1~Sim0
InfoAct_id_15~SEND~Diena (Diena.lt)~B-ID-2~IP-183~0~0~1~Sim0
InfoAct_id_16~SEND~Diena (Diena.lt)~B-ID-2~IP-187~0~0~1~Sim0
InfoAct_id_17~SEND~Diena (Diena.lt)~B-ID-2~IP-191~0~0~1~Sim0
InfoAct_id_18~SEND~Diena (Diena.lt)~B-ID-11~IP-114~0~0~1~Sim0
InfoAct_id_19~SEND~Diena (Diena.lt)~B-ID-11~IP-118~0~0~1~Sim0
InfoAct_id_20~SEND~Diena (Diena.lt)~B-ID-11~IP-122~0~0~1~Sim0
InfoAct_id_21~SEND~Diena (Diena.lt)~B-ID-11~IP-126~0~0~1~Sim0
InfoAct_id_22~SEND~Diena (Diena.lt)~B-ID-11~IP-130~0~0~1~Sim0
InfoAct_id_23~SEND~Diena (Diena.lt)~B-ID-11~IP-147~0~0~1~Sim0
InfoAct_id_24~SEND~Diena (Diena.lt)~B-ID-11~IP-151~0~0~1~Sim0
InfoAct_id_25~SEND~Diena (Diena.lt)~B-ID-11~IP-155~0~0~1~Sim0
InfoAct_id_26~SEND~Diena (Diena.lt)~B-ID-11~IP-159~0~0~1~Sim0
InfoAct_id_27~SEND~Diena (Diena.lt)~B-ID-11~IP-163~0~0~1~Sim0
InfoAct_id_28~SEND~Diena (Diena.lt)~B-ID-11~IP-167~0~0~1~Sim0
InfoAct_id_29~SEND~Diena (Diena.lt)~B-ID-11~IP-171~0~0~1~Sim0
InfoAct_id_30~SEND~Diena (Diena.lt)~B-ID-11~IP-175~0~0~1~Sim0
InfoAct_id_31~SEND~Diena (Diena.lt)~B-ID-11~IP-179~0~0~1~Sim0
InfoAct_id_32~SEND~Diena (Diena.lt)~B-ID-11~IP-183~0~0~1~Sim0
InfoAct_id_33~SEND~Diena (Diena.lt)~B-ID-11~IP-187~0~0~1~Sim0
InfoAct_id_34~SEND~Diena (Diena.lt)~B-ID-11~IP-191~0~0~1~Sim0
InfoAct_id_35~SEND~Diena (Diena.lt)~B-ID-27~IP-114~0~0~1~Sim0
InfoAct_id_36~SEND~Diena (Diena.lt)~B-ID-27~IP-118~0~0~1~Sim0
InfoAct_id_37~SEND~Diena (Diena.lt)~B-ID-27~IP-122~0~0~1~Sim0
InfoAct_id_38~SEND~Diena (Diena.lt)~B-ID-27~IP-126~0~0~1~Sim0
InfoAct_id_39~SEND~Diena (Diena.lt)~B-ID-27~IP-130~0~0~1~Sim0
InfoAct_id_40~SEND~Diena (Diena.lt)~B-ID-27~IP-147~0~0~1~Sim0
InfoAct_id_41~SEND~Diena (Diena.lt)~B-ID-27~IP-151~0~0~1~Sim0
InfoAct_id_42~SEND~Diena (Diena.lt)~B-ID-27~IP-155~0~0~1~Sim0
InfoAct_id_43~SEND~Diena (Diena.lt)~B-ID-27~IP-159~0~0~1~Sim0
InfoAct_id_44~SEND~Diena (Diena.lt)~B-ID-27~IP-163~0~0~1~Sim0
InfoAct_id_45~SEND~Diena (Diena.lt)~B-ID-27~IP-167~0~0~1~Sim0
InfoAct_id_46~SEND~Diena (Diena.lt)~B-ID-27~IP-171~0~0~1~Sim0
InfoAct_id_47~SEND~Diena (Diena.lt)~B-ID-27~IP-175~0~0~1~Sim0
InfoAct_id_48~SEND~Diena (Diena.lt)~B-ID-27~IP-179~0~0~1~Sim0
InfoAct_id_49~SEND~Diena (Diena.lt)~B-ID-27~IP-183~0~0~1~Sim0
InfoAct_id_50~SEND~Diena (Diena.lt)~B-ID-27~IP-187~0~0~1~Sim0
InfoAct_id_51~SEND~Diena (Diena.lt)~B-ID-27~IP-191~0~0~1~Sim0
InfoAct_id_52~SEND~Diena (Diena.lt)~B-ID-29~IP-114~0~0~1~Sim0
InfoAct_id_53~SEND~Diena (Diena.lt)~B-ID-29~IP-118~0~0~1~Sim0
InfoAct_id_54~SEND~Diena (Diena.lt)~B-ID-29~IP-122~0~0~1~Sim0
InfoAct_id_55~SEND~Diena (Diena.lt)~B-ID-29~IP-126~0~0~1~Sim0
InfoAct_id_56~SEND~Diena (Diena.lt)~B-ID-29~IP-130~0~0~1~Sim0
InfoAct_id_57~SEND~Diena (Diena.lt)~B-ID-29~IP-147~0~0~1~Sim0
InfoAct_id_58~SEND~Diena (Diena.lt)~B-ID-29~IP-151~0~0~1~Sim0
InfoAct_id_59~SEND~Diena (Diena.lt)~B-ID-29~IP-155~0~0~1~Sim0
InfoAct_id_60~SEND~Diena (Diena.lt)~B-ID-29~IP-159~0~0~1~Sim0
InfoAct_id_61~SEND~Diena (Diena.lt)~B-ID-29~IP-163~0~0~1~Sim0
InfoAct_id_62~SEND~Diena (Diena.lt)~B-ID-29~IP-167~0~0~1~Sim0
InfoAct_id_63~SEND~Diena (Diena.lt)~B-ID-29~IP-171~0~0~1~Sim0
InfoAct_id_64~SEND~Diena (Diena.lt)~B-ID-29~IP-175~0~0~1~Sim0
InfoAct_id_65~SEND~Diena (Diena.lt)~B-ID-29~IP-179~0~0~1~Sim0
InfoAct_id_66~SEND~Diena (Diena.lt)~B-ID-29~IP-183~0~0~1~Sim0
