information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_2999~SEND~B-ID-10~Gitanas Nauseda~IP-343~0~0.1~2~Sim0
InfoAct_id_3000~SEND~B-ID-10~Gitanas Nauseda~IP-347~0~0.1~2~Sim0
InfoAct_id_3001~SEND~B-ID-10~Gitanas Nauseda~IP-351~0~0~2~Sim0
InfoAct_id_3002~SEND~B-ID-10~Gitanas Nauseda~IP-355~0~0.1~2~Sim0
InfoAct_id_3003~SEND~B-ID-10~Gitanas Nauseda~IP-359~0~0.1~2~Sim0
InfoAct_id_3004~SEND~B-ID-10~Gitanas Nauseda~IP-363~0~0.1~2~Sim0
InfoAct_id_3005~SEND~B-ID-10~Gitanas Nauseda~IP-367~0~0.1~2~Sim0
InfoAct_id_3006~SEND~B-ID-10~Gitanas Nauseda~IP-371~0~0~2~Sim0
InfoAct_id_3007~SEND~B-ID-10~Gitanas Nauseda~IP-375~0~0.1~2~Sim0
InfoAct_id_3008~SEND~B-ID-10~Gitanas Nauseda~IP-379~0~0.1~2~Sim0
InfoAct_id_3009~SEND~B-ID-10~Gitanas Nauseda~IP-383~0~0~2~Sim0
InfoAct_id_3010~SEND~B-ID-10~Gitanas Nauseda~IP-387~0~0.1~2~Sim0
InfoAct_id_3011~SEND~B-ID-10~Gitanas Nauseda~IP-391~0~0.1~2~Sim0
InfoAct_id_3012~SEND~B-ID-10~Gitanas Nauseda~IP-395~0~0.1~2~Sim0
InfoAct_id_3013~SEND~B-ID-10~Gitanas Nauseda~IP-399~0~0.1~2~Sim0
InfoAct_id_3014~SEND~B-ID-10~Gitanas Nauseda~IP-403~0~0~2~Sim0
InfoAct_id_3015~SEND~B-ID-10~Gitanas Nauseda~IP-407~0~0.1~2~Sim0
InfoAct_id_3016~SEND~B-ID-10~Gitanas Nauseda~IP-411~0~0.1~2~Sim0
InfoAct_id_3017~SEND~B-ID-10~Gitanas Nauseda~IP-415~0~0.1~2~Sim0
InfoAct_id_3018~SEND~B-ID-10~Gitanas Nauseda~IP-419~0~0.1~2~Sim0
InfoAct_id_3019~SEND~B-ID-10~Ingrida Simonyte~IP-343~0~0~2~Sim0
InfoAct_id_3020~SEND~B-ID-10~Ingrida Simonyte~IP-347~0~0~2~Sim0
InfoAct_id_3021~SEND~B-ID-10~Ingrida Simonyte~IP-351~0~0~2~Sim0
InfoAct_id_3022~SEND~B-ID-10~Ingrida Simonyte~IP-355~0~0~2~Sim0
InfoAct_id_3023~SEND~B-ID-10~Ingrida Simonyte~IP-359~0~0~2~Sim0
InfoAct_id_3024~SEND~B-ID-10~Ingrida Simonyte~IP-363~0~0~2~Sim0
InfoAct_id_3025~SEND~B-ID-10~Ingrida Simonyte~IP-367~0~0~2~Sim0
InfoAct_id_3026~SEND~B-ID-10~Ingrida Simonyte~IP-371~0~0~2~Sim0
InfoAct_id_3027~SEND~B-ID-10~Ingrida Simonyte~IP-375~0~0~2~Sim0
InfoAct_id_3028~SEND~B-ID-10~Ingrida Simonyte~IP-379~0~0~2~Sim0
InfoAct_id_3029~SEND~B-ID-10~Ingrida Simonyte~IP-383~0~0~2~Sim0
InfoAct_id_3030~SEND~B-ID-10~Ingrida Simonyte~IP-387~0~0~2~Sim0
InfoAct_id_3031~SEND~B-ID-10~Ingrida Simonyte~IP-391~0~0~2~Sim0
InfoAct_id_3032~SEND~B-ID-10~Ingrida Simonyte~IP-395~0~0~2~Sim0
InfoAct_id_3033~SEND~B-ID-10~Ingrida Simonyte~IP-399~0~0~2~Sim0
InfoAct_id_3034~SEND~B-ID-10~Ingrida Simonyte~IP-403~0~0~2~Sim0
InfoAct_id_3035~SEND~B-ID-10~Ingrida Simonyte~IP-407~0~0~2~Sim0
InfoAct_id_3036~SEND~B-ID-10~Ingrida Simonyte~IP-411~0~0~2~Sim0
InfoAct_id_3037~SEND~B-ID-10~Ingrida Simonyte~IP-415~0~0~2~Sim0
InfoAct_id_3038~SEND~B-ID-10~Ingrida Simonyte~IP-419~0~0~2~Sim0
InfoAct_id_3039~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-274~0~0.1~2~Sim0
InfoAct_id_3040~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-278~0~0.1~2~Sim0
InfoAct_id_3041~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-282~0~0.1~2~Sim0
InfoAct_id_3042~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-286~0~0.1~2~Sim0
InfoAct_id_3043~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-290~0~0.1~2~Sim0
InfoAct_id_3044~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-307~0~0.1~2~Sim0
InfoAct_id_3045~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-311~0~0.1~2~Sim0
InfoAct_id_3046~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-315~0~0.1~2~Sim0
InfoAct_id_3047~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-319~0~0.1~2~Sim0
InfoAct_id_3048~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-323~0~0.1~2~Sim0
InfoAct_id_3049~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-327~0~0.1~2~Sim0
InfoAct_id_3050~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-331~0~0.1~2~Sim0
InfoAct_id_3051~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-335~0~0.1~2~Sim0
InfoAct_id_3052~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-339~0~0.1~2~Sim0
InfoAct_id_3053~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-4~0~0~2~Sim0
InfoAct_id_3054~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-27~0~0.1~2~Sim0
InfoAct_id_3055~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-31~0~0~2~Sim0
InfoAct_id_3056~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-35~0~0~2~Sim0
InfoAct_id_3057~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-46~0~0.1~2~Sim0
InfoAct_id_3058~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-50~0~0~2~Sim0
InfoAct_id_3059~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-54~0~0.1~2~Sim0
InfoAct_id_3060~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-58~0~0.1~2~Sim0
InfoAct_id_3061~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-62~0~0.1~2~Sim0
InfoAct_id_3062~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-66~0~0.1~2~Sim0
InfoAct_id_3063~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-70~0~0~2~Sim0
InfoAct_id_3064~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-74~0~0.1~2~Sim0
InfoAct_id_3065~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-78~0~0.1~2~Sim0
InfoAct_id_3066~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-82~0~0.1~2~Sim0
InfoAct_id_3067~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-86~0~0.1~2~Sim0
InfoAct_id_3068~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-90~0~0~2~Sim0
InfoAct_id_3069~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-94~0~0.1~2~Sim0
InfoAct_id_3070~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-98~0~0.1~2~Sim0
InfoAct_id_3071~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-102~0~0~2~Sim0
InfoAct_id_3072~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-106~0~0.1~2~Sim0
InfoAct_id_3073~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-110~0~0.1~2~Sim0
InfoAct_id_3074~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-423~0~0.1~2~Sim0
InfoAct_id_3075~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-427~0~0.1~2~Sim0
InfoAct_id_3076~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-431~0~0~2~Sim0
InfoAct_id_3077~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-435~0~0.1~2~Sim0
InfoAct_id_3078~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-439~0~0.1~2~Sim0
InfoAct_id_3079~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-443~0~0.1~2~Sim0
InfoAct_id_3080~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-447~0~0.1~2~Sim0
InfoAct_id_3081~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-451~0~0~2~Sim0
InfoAct_id_3082~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-455~0~0.1~2~Sim0
InfoAct_id_3083~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-459~0~0.1~2~Sim0
InfoAct_id_3084~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-476~0~0.1~2~Sim0
InfoAct_id_3085~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-480~0~0.1~2~Sim0
InfoAct_id_3086~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-484~0~0.1~2~Sim0
InfoAct_id_3087~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-488~0~0.1~2~Sim0
InfoAct_id_3088~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-492~0~0~2~Sim0
InfoAct_id_3089~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-496~0~0.1~2~Sim0
InfoAct_id_3090~SEND~Austeja Landsbergiene~Gabrielius Landsbergis~IP-500~0~0.1~2~Sim0
InfoAct_id_3091~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-274~0~0~2~Sim0
InfoAct_id_3092~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-278~0~0~2~Sim0
InfoAct_id_3093~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-282~0~0~2~Sim0
InfoAct_id_3094~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-286~0~0~2~Sim0
InfoAct_id_3095~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-290~0~0~2~Sim0
InfoAct_id_3096~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-307~0~0~2~Sim0
InfoAct_id_3097~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-311~0~0~2~Sim0
InfoAct_id_3098~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-315~0~0~2~Sim0
InfoAct_id_3099~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-319~0~0~2~Sim0
InfoAct_id_3100~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-323~0~0~2~Sim0
InfoAct_id_3101~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-327~0~0~2~Sim0
InfoAct_id_3102~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-331~0~0~2~Sim0
InfoAct_id_3103~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-335~0~0~2~Sim0
InfoAct_id_3104~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-339~0~0~2~Sim0
InfoAct_id_3105~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-4~0~0~2~Sim0
InfoAct_id_3106~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-27~0~0~2~Sim0
InfoAct_id_3107~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-31~0~0~2~Sim0
InfoAct_id_3108~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-35~0~0~2~Sim0
InfoAct_id_3109~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-46~0~0~2~Sim0
InfoAct_id_3110~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-50~0~0~2~Sim0
InfoAct_id_3111~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-54~0~0~2~Sim0
InfoAct_id_3112~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-58~0~0~2~Sim0
InfoAct_id_3113~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-62~0~0~2~Sim0
InfoAct_id_3114~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-66~0~0~2~Sim0
InfoAct_id_3115~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-70~0~0~2~Sim0
InfoAct_id_3116~SEND~Austeja Landsbergiene~Gitanas Nauseda~IP-74~0~0~2~Sim0
