information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_4762~SEND~L24 (l24.lt)~B-ID-10~IP-343~0~0~3~Sim0
InfoAct_id_4763~SEND~L24 (l24.lt)~B-ID-10~IP-347~0~0~3~Sim0
InfoAct_id_4764~SEND~L24 (l24.lt)~B-ID-10~IP-351~0~0~3~Sim0
InfoAct_id_4765~SEND~L24 (l24.lt)~B-ID-10~IP-355~0~0~3~Sim0
InfoAct_id_4766~SEND~L24 (l24.lt)~B-ID-10~IP-359~0~0~3~Sim0
InfoAct_id_4767~SEND~L24 (l24.lt)~B-ID-10~IP-363~0~0~3~Sim0
InfoAct_id_4768~SEND~L24 (l24.lt)~B-ID-10~IP-367~0~0~3~Sim0
InfoAct_id_4769~SEND~L24 (l24.lt)~B-ID-10~IP-371~0~0~3~Sim0
InfoAct_id_4770~SEND~L24 (l24.lt)~B-ID-10~IP-375~0~0~3~Sim0
InfoAct_id_4771~SEND~L24 (l24.lt)~B-ID-10~IP-379~0~0~3~Sim0
InfoAct_id_4772~SEND~L24 (l24.lt)~B-ID-10~IP-383~0~0~3~Sim0
InfoAct_id_4773~SEND~L24 (l24.lt)~B-ID-10~IP-387~0~0~3~Sim0
InfoAct_id_4774~SEND~L24 (l24.lt)~B-ID-10~IP-391~0~0~3~Sim0
InfoAct_id_4775~SEND~L24 (l24.lt)~B-ID-10~IP-395~0~0~3~Sim0
InfoAct_id_4776~SEND~L24 (l24.lt)~B-ID-10~IP-399~0~0~3~Sim0
InfoAct_id_4777~SEND~L24 (l24.lt)~B-ID-10~IP-403~0~0~3~Sim0
InfoAct_id_4778~SEND~L24 (l24.lt)~B-ID-10~IP-407~0~0~3~Sim0
InfoAct_id_4779~SEND~L24 (l24.lt)~B-ID-10~IP-411~0~0~3~Sim0
InfoAct_id_4780~SEND~L24 (l24.lt)~B-ID-10~IP-415~0~0~3~Sim0
InfoAct_id_4781~SEND~L24 (l24.lt)~B-ID-10~IP-419~0~0~3~Sim0
