relationship_action_id~source_agent_id~target_agent_id~action~change_in_trust~tick~simulation_id
Relation_Act_id_58~COL-GEN Anatoly Alekseyevich Sidorov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_59~COL-GEN Anatoly Alekseyevich Sidorov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_60~COL-GEN Anatoly Alekseyevich Sidorov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_61~COL-GEN Anatoly Alekseyevich Sidorov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_62~COL-GEN Anatoly Alekseyevich Sidorov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_63~COL-GEN Anatoly Alekseyevich Sidorov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_64~COL-GEN Anatoly Alekseyevich Sidorov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_65~COL-GEN Anatoly Alekseyevich Sidorov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_66~COL-GEN Anatoly Alekseyevich Sidorov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_67~COL-GEN Anatoly Alekseyevich Sidorov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_68~COL-GEN Anatoly Alekseyevich Sidorov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_69~COL-GEN Anatoly Alekseyevich Sidorov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_70~COL-GEN Anatoly Alekseyevich Sidorov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_71~COL-GEN Anatoly Alekseyevich Sidorov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_72~COL-GEN Anatoly Alekseyevich Sidorov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_73~COL-GEN Anatoly Alekseyevich Sidorov~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_74~COL-GEN Anatoly Alekseyevich Sidorov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_75~COL-GEN Anatoly Alekseyevich Sidorov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_76~COL-GEN Anatoly Alekseyevich Sidorov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_77~COL-GEN Anatoly Alekseyevich Sidorov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_78~COL-GEN Anatoly Alekseyevich Sidorov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_79~COL-GEN Anatoly Alekseyevich Sidorov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_80~COL-GEN Anatoly Alekseyevich Sidorov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
