information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_793~SEND~Simonas Gurevicius~B-ID-18~IP-428~0~-0.1~2~1
InfoAct_id_794~SEND~Simonas Gurevicius~B-ID-18~IP-192~0~0~2~1
InfoAct_id_795~SEND~Simonas Gurevicius~B-ID-18~IP-193~0~0~2~1
InfoAct_id_796~SEND~Simonas Gurevicius~B-ID-18~IP-194~0~0~2~1
InfoAct_id_797~SEND~Simonas Gurevicius~B-ID-18~IP-195~0~0~2~1
InfoAct_id_798~SEND~Simonas Gurevicius~B-ID-18~IP-196~0~0~2~1
InfoAct_id_799~SEND~Simonas Gurevicius~B-ID-18~IP-197~0~0~2~1
InfoAct_id_800~SEND~Simonas Gurevicius~B-ID-18~IP-198~0~0~2~1
InfoAct_id_801~SEND~Simonas Gurevicius~B-ID-18~IP-199~0~0~2~1
InfoAct_id_802~SEND~Simonas Gurevicius~B-ID-18~IP-1~0~0~2~1
InfoAct_id_803~SEND~Simonas Gurevicius~B-ID-18~IP-2~0~0~2~1
InfoAct_id_804~SEND~Simonas Gurevicius~B-ID-18~IP-3~0~0~2~1
InfoAct_id_805~SEND~Simonas Gurevicius~B-ID-18~IP-4~0~0~2~1
InfoAct_id_806~SEND~Simonas Gurevicius~B-ID-18~IP-5~0~0~2~1
InfoAct_id_807~SEND~Simonas Gurevicius~B-ID-18~IP-6~0~0~2~1
InfoAct_id_808~SEND~Simonas Gurevicius~B-ID-18~IP-7~0~0~2~1
InfoAct_id_809~SEND~Simonas Gurevicius~B-ID-18~IP-8~0~0~2~1
InfoAct_id_810~SEND~Simonas Gurevicius~B-ID-18~IP-9~0~0~2~1
InfoAct_id_811~SEND~Simonas Gurevicius~B-ID-18~IP-10~0~0~2~1
InfoAct_id_812~SEND~Simonas Gurevicius~B-ID-18~IP-422~0~0~2~1
InfoAct_id_813~SEND~Simonas Gurevicius~B-ID-18~IP-423~0~0~2~1
InfoAct_id_814~SEND~Simonas Gurevicius~B-ID-18~IP-424~0~0~2~1
InfoAct_id_815~SEND~Simonas Gurevicius~B-ID-18~IP-425~0~0~2~1
InfoAct_id_816~SEND~Simonas Gurevicius~B-ID-18~IP-426~0~0~2~1
InfoAct_id_817~SEND~Simonas Gurevicius~B-ID-18~IP-427~0~0~2~1
InfoAct_id_818~SEND~Simonas Gurevicius~B-ID-18~IP-428~0~0~2~1
InfoAct_id_819~SEND~Simonas Gurevicius~B-ID-18~IP-429~0~0~2~1
InfoAct_id_820~SEND~Simonas Gurevicius~B-ID-76~IP-196~0~+0.1~2~1
InfoAct_id_821~RECEIVE~Simonas Gurevicius~B-ID-76~IP-192~0~0~3~1
InfoAct_id_822~SEND~Simonas Gurevicius~B-ID-76~IP-192~0~0~2~1
InfoAct_id_823~RECEIVE~Simonas Gurevicius~B-ID-76~IP-193~0~0~3~1
InfoAct_id_824~SEND~Simonas Gurevicius~B-ID-76~IP-193~0~0~2~1
InfoAct_id_825~RECEIVE~Simonas Gurevicius~B-ID-76~IP-194~0~0~3~1
InfoAct_id_826~SEND~Simonas Gurevicius~B-ID-76~IP-194~0~0~2~1
InfoAct_id_827~RECEIVE~Simonas Gurevicius~B-ID-76~IP-195~0~0~3~1
InfoAct_id_828~SEND~Simonas Gurevicius~B-ID-76~IP-195~0~0~2~1
InfoAct_id_829~RECEIVE~Simonas Gurevicius~B-ID-76~IP-196~0~0~3~1
InfoAct_id_830~SEND~Simonas Gurevicius~B-ID-76~IP-196~0~0~2~1
InfoAct_id_831~RECEIVE~Simonas Gurevicius~B-ID-76~IP-197~0~0~3~1
InfoAct_id_832~SEND~Simonas Gurevicius~B-ID-76~IP-197~0~0~2~1
InfoAct_id_833~RECEIVE~Simonas Gurevicius~B-ID-76~IP-198~0~0~3~1
InfoAct_id_834~SEND~Simonas Gurevicius~B-ID-76~IP-198~0~0~2~1
InfoAct_id_835~RECEIVE~Simonas Gurevicius~B-ID-76~IP-199~0~0~3~1
InfoAct_id_836~SEND~Simonas Gurevicius~B-ID-76~IP-199~0~0~2~1
InfoAct_id_837~SEND~Simonas Gurevicius~B-ID-76~IP-1~0~0~2~1
InfoAct_id_838~SEND~Simonas Gurevicius~B-ID-76~IP-2~0~0~2~1
InfoAct_id_839~SEND~Simonas Gurevicius~B-ID-76~IP-3~0~0~2~1
InfoAct_id_840~SEND~Simonas Gurevicius~B-ID-76~IP-4~0~0~2~1
InfoAct_id_841~SEND~Simonas Gurevicius~B-ID-76~IP-5~0~0~2~1
InfoAct_id_842~SEND~Simonas Gurevicius~B-ID-76~IP-6~0~0~2~1
InfoAct_id_843~SEND~Simonas Gurevicius~B-ID-76~IP-7~0~0~2~1
InfoAct_id_844~SEND~Simonas Gurevicius~B-ID-76~IP-8~0~0~2~1
InfoAct_id_845~SEND~Simonas Gurevicius~B-ID-76~IP-9~0~0~2~1
InfoAct_id_846~SEND~Simonas Gurevicius~B-ID-76~IP-10~0~0~2~1
InfoAct_id_847~RECEIVE~Simonas Gurevicius~B-ID-76~IP-422~0~0~3~1
InfoAct_id_848~SEND~Simonas Gurevicius~B-ID-76~IP-422~0~0~2~1
InfoAct_id_849~RECEIVE~Simonas Gurevicius~B-ID-76~IP-423~0~0~3~1
InfoAct_id_850~SEND~Simonas Gurevicius~B-ID-76~IP-423~0~0~2~1
InfoAct_id_851~RECEIVE~Simonas Gurevicius~B-ID-76~IP-424~0~0~3~1
InfoAct_id_852~SEND~Simonas Gurevicius~B-ID-76~IP-424~0~0~2~1
InfoAct_id_853~RECEIVE~Simonas Gurevicius~B-ID-76~IP-425~0~0~3~1
InfoAct_id_854~SEND~Simonas Gurevicius~B-ID-76~IP-425~0~0~2~1
InfoAct_id_855~RECEIVE~Simonas Gurevicius~B-ID-76~IP-426~0~0~3~1
InfoAct_id_856~SEND~Simonas Gurevicius~B-ID-76~IP-426~0~0~2~1
InfoAct_id_857~RECEIVE~Simonas Gurevicius~B-ID-76~IP-427~0~0~3~1
InfoAct_id_858~SEND~Simonas Gurevicius~B-ID-76~IP-427~0~0~2~1
InfoAct_id_859~RECEIVE~Simonas Gurevicius~B-ID-76~IP-428~0~0~3~1
InfoAct_id_860~SEND~Simonas Gurevicius~B-ID-76~IP-428~0~0~2~1
InfoAct_id_861~RECEIVE~Simonas Gurevicius~B-ID-76~IP-429~0~0~3~1
InfoAct_id_862~SEND~Simonas Gurevicius~B-ID-76~IP-429~0~0~2~1
InfoAct_id_863~SEND~Simonas Gurevicius~Andrius Tapinas~IP-192~0~-0.1~2~1
InfoAct_id_864~SEND~Simonas Gurevicius~Andrius Tapinas~IP-192~0~0~2~1
InfoAct_id_865~SEND~Simonas Gurevicius~Andrius Tapinas~IP-193~0~0~2~1
InfoAct_id_866~SEND~Simonas Gurevicius~Andrius Tapinas~IP-194~0~0~2~1
InfoAct_id_867~SEND~Simonas Gurevicius~Andrius Tapinas~IP-195~0~0~2~1
InfoAct_id_868~SEND~Simonas Gurevicius~Andrius Tapinas~IP-196~0~0~2~1
InfoAct_id_869~SEND~Simonas Gurevicius~Andrius Tapinas~IP-197~0~0~2~1
InfoAct_id_870~SEND~Simonas Gurevicius~Andrius Tapinas~IP-198~0~0~2~1
InfoAct_id_871~SEND~Simonas Gurevicius~Andrius Tapinas~IP-199~0~0~2~1
InfoAct_id_872~SEND~Simonas Gurevicius~Andrius Tapinas~IP-1~0~0~2~1
InfoAct_id_873~SEND~Simonas Gurevicius~Andrius Tapinas~IP-2~0~0~2~1
InfoAct_id_874~SEND~Simonas Gurevicius~Andrius Tapinas~IP-3~0~0~2~1
InfoAct_id_875~SEND~Simonas Gurevicius~Andrius Tapinas~IP-4~0~0~2~1
InfoAct_id_876~SEND~Simonas Gurevicius~Andrius Tapinas~IP-5~0~0~2~1
InfoAct_id_877~SEND~Simonas Gurevicius~Andrius Tapinas~IP-6~0~0~2~1
InfoAct_id_878~SEND~Simonas Gurevicius~Andrius Tapinas~IP-7~0~0~2~1
InfoAct_id_879~SEND~Simonas Gurevicius~Andrius Tapinas~IP-8~0~0~2~1
InfoAct_id_880~SEND~Simonas Gurevicius~Andrius Tapinas~IP-9~0~0~2~1
InfoAct_id_881~SEND~Simonas Gurevicius~Andrius Tapinas~IP-10~0~0~2~1
InfoAct_id_882~SEND~Simonas Gurevicius~Andrius Tapinas~IP-422~0~0~2~1
InfoAct_id_883~SEND~Simonas Gurevicius~Andrius Tapinas~IP-423~0~0~2~1
InfoAct_id_884~SEND~Simonas Gurevicius~Andrius Tapinas~IP-424~0~0~2~1
InfoAct_id_885~SEND~Simonas Gurevicius~Andrius Tapinas~IP-425~0~0~2~1
InfoAct_id_886~SEND~Simonas Gurevicius~Andrius Tapinas~IP-426~0~0~2~1
InfoAct_id_887~SEND~Simonas Gurevicius~Andrius Tapinas~IP-427~0~0~2~1
InfoAct_id_888~SEND~Simonas Gurevicius~Andrius Tapinas~IP-428~0~0~2~1
InfoAct_id_889~SEND~Simonas Gurevicius~Andrius Tapinas~IP-429~0~0~2~1
InfoAct_id_890~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-192~0~+0.1~2~1
InfoAct_id_891~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-192~0~0~2~1
InfoAct_id_892~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-193~0~0~2~1
InfoAct_id_893~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-194~0~0~2~1
InfoAct_id_894~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-195~0~0~2~1
InfoAct_id_895~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-196~0~0~2~1
InfoAct_id_896~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-197~0~0~2~1
InfoAct_id_897~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-198~0~0~2~1
InfoAct_id_898~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-199~0~0~2~1
InfoAct_id_899~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-1~0~0~2~1
InfoAct_id_900~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-2~0~0~2~1
InfoAct_id_901~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-3~0~0~2~1
InfoAct_id_902~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-4~0~0~2~1
InfoAct_id_903~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-5~0~0~2~1
InfoAct_id_904~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-6~0~0~2~1
InfoAct_id_905~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-7~0~0~2~1
InfoAct_id_906~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-8~0~0~2~1
InfoAct_id_907~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-9~0~0~2~1
InfoAct_id_908~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-10~0~0~2~1
InfoAct_id_909~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-422~0~0~2~1
InfoAct_id_910~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-423~0~0~2~1
InfoAct_id_911~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-424~0~0~2~1
InfoAct_id_912~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-425~0~0~2~1
InfoAct_id_913~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-426~0~0~2~1
InfoAct_id_914~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-427~0~0~2~1
InfoAct_id_915~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-428~0~0~2~1
InfoAct_id_916~SEND~Simonas Gurevicius~Arvydas Sabonis~IP-429~0~0~2~1
InfoAct_id_917~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-196~0~-0.1~2~1
InfoAct_id_918~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-192~0~0~3~1
InfoAct_id_919~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-192~0~0~2~1
InfoAct_id_920~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-193~0~0~3~1
InfoAct_id_921~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-193~0~0~2~1
InfoAct_id_922~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-194~0~0~3~1
InfoAct_id_923~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-194~0~0~2~1
InfoAct_id_924~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-195~0~0~3~1
InfoAct_id_925~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-195~0~0~2~1
InfoAct_id_926~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-196~0~0~3~1
InfoAct_id_927~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-196~0~0~2~1
InfoAct_id_928~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-197~0~0~3~1
InfoAct_id_929~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-197~0~0~2~1
InfoAct_id_930~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-198~0~0~3~1
InfoAct_id_931~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-198~0~0~2~1
InfoAct_id_932~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-199~0~0~3~1
InfoAct_id_933~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-199~0~0~2~1
InfoAct_id_934~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-1~0~0~2~1
InfoAct_id_935~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-2~0~0~2~1
InfoAct_id_936~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-3~0~0~2~1
InfoAct_id_937~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-4~0~0~2~1
InfoAct_id_938~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-5~0~0~2~1
InfoAct_id_939~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-6~0~0~2~1
InfoAct_id_940~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-7~0~0~2~1
InfoAct_id_941~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-8~0~0~2~1
InfoAct_id_942~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-9~0~0~2~1
InfoAct_id_943~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-10~0~0~2~1
InfoAct_id_944~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-422~0~0~3~1
InfoAct_id_945~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-422~0~0~2~1
InfoAct_id_946~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-423~0~0~3~1
InfoAct_id_947~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-423~0~0~2~1
InfoAct_id_948~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-424~0~0~3~1
InfoAct_id_949~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-424~0~0~2~1
InfoAct_id_950~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-425~0~0~3~1
InfoAct_id_951~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-425~0~0~2~1
InfoAct_id_952~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-426~0~0~3~1
InfoAct_id_953~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-426~0~0~2~1
InfoAct_id_954~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-427~0~0~3~1
InfoAct_id_955~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-427~0~0~2~1
InfoAct_id_956~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-428~0~0~3~1
InfoAct_id_957~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-428~0~0~2~1
InfoAct_id_958~RECEIVE~Simonas Gurevicius~Austeja Landsbergiene~IP-429~0~0~3~1
InfoAct_id_959~SEND~Simonas Gurevicius~Austeja Landsbergiene~IP-429~0~0~2~1
InfoAct_id_960~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-424~0~-0.1~2~1
InfoAct_id_961~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-192~0~0~3~1
InfoAct_id_962~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-192~0~0~2~1
InfoAct_id_963~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-193~0~0~3~1
InfoAct_id_964~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-193~0~0~2~1
InfoAct_id_965~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-194~0~0~3~1
InfoAct_id_966~SEND~Simonas Gurevicius~Gabrielius Landsbergis~IP-194~0~0~2~1
InfoAct_id_967~RECEIVE~Simonas Gurevicius~Gabrielius Landsbergis~IP-195~0~0~3~1
